employee_id,name,department,salary,age,years_experience,performance_score,city,hire_date,remote_work,salary_band,tenure_years
EMP0311,Employee_311,Marketing,91522.66044484236,49.0,9.0,4.0,Chicago,2012-07-19,No,Senior,13.463013698630137
EMP0391,Employee_391,,70457.25648350263,51.0,19.0,5.0,New York,2013-03-16,No,Mid,12.805479452054794
EMP0007,Employee_7,Engineering,58595.335859587154,62.0,3.0,2.0,Austin,2010-01-19,Yes,Entry,15.961643835616439
EMP0185,Employee_185,Sales,85368.36758379103,38.0,13.0,3.0,Seattle,2011-07-07,No,Mid,14.498630136986302
EMP0079,Employee_79,Sales,82753.4390061834,34.0,1.0,2.0,Seattle,2010-08-23,No,Mid,15.36986301369863
EMP0408,Employee_408,Engineering,59465.02848359381,36.0,14.0,2.0,,2013-05-06,Yes,Entry,12.665753424657535
EMP0099,Employee_99,Engineering,69872.98509431393,62.0,14.0,3.0,,2010-10-22,Unknown,Mid,15.205479452054794
EMP0488,Employee_488,Sales,,,14.0,3.0,Boston,2014-01-01,Yes,,12.008219178082191
EMP0118,Employee_118,Engineering,96259.3847338114,31.0,15.0,4.0,Chicago,2010-12-18,Yes,Senior,15.04931506849315
EMP0138,Employee_138,Finance,96411.9733718632,47.0,3.0,4.0,San Francisco,2011-02-16,Yes,Senior,14.884931506849314
EMP0011,Employee_11,Engineering,50737.30941818245,30.0,15.0,4.0,Boston,2010-01-31,Yes,Entry,15.92876712328767
EMP0462,Employee_462,HR,,,16.0,4.0,Boston,2013-10-15,Yes,,12.221917808219178
EMP0076,Employee_76,Finance,85705.27103943458,57.0,,2.0,Boston,2010-08-14,Unknown,Mid,15.394520547945206
EMP0440,Employee_440,Engineering,114067.68954235404,37.0,5.0,5.0,San Francisco,2013-08-10,Yes,Senior,12.402739726027397
EMP0480,Employee_480,Marketing,,,4.0,1.0,Chicago,2013-12-08,Yes,,12.073972602739726
EMP0141,Employee_141,,52449.151242336746,50.0,11.0,5.0,,2011-02-25,Yes,Entry,14.860273972602739
EMP0003,Employee_3,Finance,104008.476763721,35.0,16.0,4.0,Seattle,2010-01-07,No,Senior,15.994520547945205
EMP0156,Employee_156,Sales,62405.86290684764,43.0,3.0,1.0,,2011-04-11,Unknown,Mid,14.736986301369862
EMP0377,Employee_377,Operations,136201.69076537588,61.0,8.0,5.0,Austin,2013-02-02,Yes,Executive,12.92054794520548
EMP0132,Employee_132,Sales,65448.89510402898,54.0,6.0,3.0,New York,2011-01-29,Unknown,Mid,14.934246575342465
EMP0072,Employee_72,Engineering,64295.15355161252,51.0,7.0,1.0,Austin,2010-08-02,Yes,Mid,15.427397260273972
EMP0281,Employee_281,Operations,79900.45565158289,37.0,3.0,4.0,Austin,2012-04-20,Unknown,Mid,13.70958904109589
EMP0292,Employee_292,Engineering,120045.40886847246,33.0,2.0,5.0,Boston,2012-05-23,Yes,Executive,13.61917808219178
EMP0282,Employee_282,Sales,115079.85977165378,25.0,0.0,4.0,,2012-04-23,Unknown,Senior,13.7013698630137
EMP0334,Employee_334,Engineering,83861.08752557865,23.0,13.0,3.0,Chicago,2012-09-26,No,Mid,13.273972602739725
EMP0288,Employee_288,Marketing,77571.18268008417,63.0,1.0,2.0,Boston,2012-05-11,No,Mid,13.652054794520549
EMP0251,Employee_251,Sales,101463.41167923828,34.0,11.0,4.0,Austin,2012-01-21,Yes,Senior,13.956164383561644
EMP0465,Employee_465,,,,12.0,1.0,Austin,2013-10-24,Yes,,12.197260273972603
